,com_1,com_2,icd10,cluster
0,7.42864,1.889176,A009,373
1,-2.1881933,6.2586064,A010,-1
2,2.9619505,7.005009,A014,-1
3,-2.7699957,-0.27078417,A020,-1
4,-3.6174245,1.6333846,A021,-1
5,1.632404,4.0658174,A022,619
6,4.593048,0.06338113,A028,-1
7,4.027737,2.9367893,A029,-1
8,-2.8383427,-6.9575386,A030,-1
9,5.263329,-2.2831898,A031,-1
10,5.6981454,3.5838501,A033,569
11,7.6267104,10.147684,A039,-1
12,3.4914808,8.733899,A040,384
13,11.787078,11.696988,A041,-1
14,-0.077544935,10.422037,A043,269
15,2.1362135,6.746286,A044,-1
16,6.0413237,11.281028,A045,189
17,9.37079,8.730229,A046,302
18,-3.4594026,2.7535822,A047,-1
19,3.322724,2.7065232,A048,579
20,-1.2199148,1.2397584,A049,500
21,3.873241,-4.001249,A050,-1
22,6.4197993,2.5195398,A051,-1
23,12.406153,-0.26353,A052,177
24,6.8092723,7.441975,A053,340
25,9.876569,9.6595125,A054,226
26,7.0479803,1.4926914,A058,-1
27,1.2031752,4.9300485,A059,605
28,3.264555,10.341854,A060,272
29,-0.46674818,11.160662,A061,208
30,-9.6101885,1.2113832,A062,105
31,-1.109431,-6.912778,A063,-1
32,3.1231048,5.625231,A064,-1
33,0.6680569,-8.304797,A065,-1
34,3.758145,2.4419737,A066,539
35,1.3282853,2.8401096,A069,-1
36,4.0522113,5.2066617,A071,-1
37,-0.8915422,6.0537515,A072,513
38,5.02989,-5.5561767,A073,-1
39,3.7429569,7.6348777,A078,450
40,4.687501,3.6952393,A079,-1
41,-6.2245646,3.5195115,A080,330
42,6.764913,10.929363,A081,-1
43,7.900807,5.9747415,A083,-1
44,-3.2576237,-2.535232,A084,227
45,2.9093094,3.2330747,A085,-1
46,-4.45161,3.0860598,A09,480
47,-3.1535206,0.83090466,A090,445
48,0.01859909,12.416193,A099,209
49,-2.1183245,3.5212204,A150,503
50,-2.9277492,0.918149,A151,445
51,1.8927376,8.531663,A152,-1
52,-2.0779183,2.2416637,A153,522
53,7.0797324,0.128509,A154,-1
54,7.4798913,3.8131027,A155,393
55,3.4500668,5.7440243,A156,607
56,3.1443238,4.555446,A157,-1
57,5.0027027,5.807981,A158,437
58,10.587577,-6.7514634,A159,75
59,-1.7980278,1.8731654,A160,-1
60,-4.6482553,1.3651327,A161,-1
61,-1.5587815,2.7826784,A162,-1
62,-2.3933775,5.198855,A163,-1
63,2.5195973,0.5974282,A164,-1
64,-1.2403835,10.288476,A165,289
65,-8.706933,0.6652385,A167,-1
66,11.453607,7.535064,A168,-1
67,3.9502945,5.739536,A169,550
68,-2.5600166,4.320008,A170,485
69,2.1867242,2.3717692,A171,-1
70,2.5615957,4.9393096,A178,627
71,4.4351892,-0.10423736,A179,528
72,-0.4892089,1.4921885,A180,479
73,1.0707058,5.94849,A181,598
74,-2.5302243,4.2952952,A182,485
75,-1.7229866,4.762798,A183,463
76,2.6757584,6.877279,A184,622
77,0.22602889,3.3883896,A185,554
78,12.388208,5.93826,A186,171
79,3.2635953,8.117008,A187,-1
80,-0.54031825,5.5141196,A188,-1
81,4.912875,4.599735,A190,541
82,3.582597,6.8355055,A191,-1
83,5.226461,4.0536685,A192,-1
84,4.167431,0.9367309,A198,533
85,5.1905756,1.3974195,A199,-1
86,9.602507,6.919738,A201,-1
87,1.737679,12.705677,A202,108
88,2.823635,-6.7171516,A207,140
89,10.3805685,11.611073,A208,-1
