,com_1,com_2,icd10,cluster
0,0.25345898,-2.1672475,A009,-1
1,-1.2411417,6.3964353,A010,593
2,-2.3326983,14.847294,A012,89
3,7.49404,-1.2901047,A013,-1
4,-1.8764969,-6.991047,A014,256
5,0.32204825,8.0059805,A020,629
6,5.4152913,8.184741,A021,-1
7,-4.7008038,7.3685865,A022,357
8,-9.369735,4.236125,A028,-1
9,-5.259981,8.030994,A029,-1
10,0.95717186,-7.5528874,A031,157
11,-9.753019,-4.048608,A038,113
12,1.6512132,-9.127246,A039,-1
13,9.224575,7.1070356,A040,233
14,-8.763596,11.676145,A042,187
15,-1.081872,13.145893,A044,-1
16,12.778359,5.86907,A045,-1
17,9.870737,-1.7461569,A047,268
18,-2.639572,1.6901947,A048,677
19,-1.1671153,6.0651894,A049,593
20,2.668029,-1.8611873,A050,516
21,-1.3249733,5.3955708,A051,660
22,-10.887823,-2.3420436,A053,-1
23,1.9957532,-1.473786,A058,583
24,-1.0152999,2.5630336,A059,707
25,3.60858,0.21304408,A060,523
26,-1.3207793,7.6700764,A061,-1
27,-9.34174,13.0468025,A063,101
28,0.41524538,5.2459874,A064,664
29,3.7780964,2.5348153,A065,610
30,-6.8721433,-6.2245345,A066,217
31,7.4592633,-6.0793138,A068,-1
32,-0.1005295,-0.96737874,A069,655
33,7.0565114,-4.635389,A071,270
34,8.583615,-3.2888968,A072,173
35,6.2303348,12.099145,A073,240
36,-4.8447814,5.384785,A079,-1
37,4.7911067,-4.946271,A080,275
38,-0.21948458,-0.24131428,A081,-1
39,2.129936,11.875972,A082,-1
40,-3.346091,7.7509923,A083,-1
41,-0.7945802,2.963442,A084,690
42,-0.93015444,7.02607,A085,627
43,-0.4494215,2.5969143,A09,727
44,-3.0208354,9.0303,A090,-1
45,4.2587934,1.2539558,A099,591
46,3.291147,-2.6525836,A150,517
47,4.0068665,-3.2662742,A151,324
48,1.9941201,1.8060108,A152,-1
49,2.7737522,3.6329143,A153,631
50,1.6881111,1.8264177,A154,713
51,3.655824,2.7931335,A155,-1
52,3.3113608,5.243545,A156,606
53,13.326619,-1.3690788,A157,110
54,3.8389144,5.730889,A158,-1
55,4.4896836,3.3907838,A159,555
56,-6.477584,0.5519039,A16,-1
57,1.1978331,1.3151026,A160,719
58,-1.8972068,9.990062,A161,371
59,-0.27297235,-1.2916176,A162,-1
60,6.224987,0.5725548,A163,346
61,-0.6126392,4.554424,A164,-1
62,-0.24333352,-0.66157615,A165,655
63,1.9555821,1.8615352,A168,-1
64,2.950267,-5.244972,A169,383
65,1.9919697,11.813259,A17,-1
66,-7.1211257,1.7061187,A170,-1
67,-8.070771,1.2255625,A171,341
68,2.7867115,-3.6992302,A178,-1
