,drug,drug_name
0,BERT01,Beramol Tab  500  mg                              
1,NSSIX1,NSS for Irrigation 1000 ml                        
2,ATOT02,Atorvastatin Tab 40 mg (SANDOZ FCT)
4,MIXI03,Mixtard (penfill)  30 HM 300u/3 ml (30/70)
6,AVAE01,*(d) Avamys nasal spray 120 ds (27.5 mcg/puff)
7,ORKT01,*(d) Orkelax Tab
9,FENT03,*(d) Fenafex Tab 180 mg
10,KLOT01,Kloramin Tab 4 mg (CPM)                           
11,NAPT01,*(d) Naprosian Tab 250 mg
13,MIRT02,*(d) Miracid Cap 20 mg(Omeprazole)
15,THYT03,Thyrosit Tab 100 mcg                              
16,CERT01,Cerebroad Tab 25 mg                               
18,SPEI01,*(d) Speeda Inj (CPRV)
20,TDVI01,*(d) Td Vaccine 0.5 ml (Adsorbed Td Vaccine)
22,CCLT01,C-Clox Cap 250 mg                                 
28,BERT01,*(d) Beramol Tab 500 mg
29,DOST02,*(d) Dosanac Tab 50 mg
31,DOUT01,Douzabox Tab (Vitamin B1-6-12 )           
33,MOTT02,*(d) Domperidone Tab 10 mg ( Motidom-M )
36,NAUT01,Nausil Tab 10 mg                                  
38,PLAE01,*(d) Plaivana Cream 35 gm
39,AMLT01,*(d) AmLOpine Tab 5 mg
40,AMLT01,AmLOpine   Tab     5   mg
41,AMKT01,AMK-1000 Tab                                      
43,NASE01,NasaCORT nasal spray 120 doses                    
45,GABT03,*(d) Gabapentin Cap 300 mg (G.P.O.)
46,MECT01,*(d) Mecoba Tablet 500 mcg
47,SPEI01,Speeda Inj (CPRV)                                 
48,LODI01,"*(d) Lodexa-5 Inj. 5mg ( Dexamethasone Inj,Dexa"
49,SODTX1,Sodium Bicarbonate Cap   500 mg                   
55,MAFT01,Maforan Tab 1mg *HAD*
57,FULT01,*(d) Fulox Tab 20 mg
59,PHET02,PhenobarbiTone Tab 60 Mg                          
62,CHLE01,*(d) Chlor-Oph Eye Drops 0.5% 5 ml
63,CCLT01,*(d) C-Clox Cap 250 mg
65,BUST02,*(d) Buscopan Tab
66,DILT01,Dilantin Kapseal 100 mg                           
69,BEST01,Bestatin Tab   20   mg                            
72,BANE02,*(d) Capsika-25 Gel 35 g
75,TRCI02,*(d) TRCS ERIg 1000 IU/5 ml
81,AMKT01,*(d) AMK-1000 Tab
91,CIPT04,*(d) Ciproxyl Tab 500 mg
95,MAFT05,Maforan Tab 4 mg *HAD*                    
97,MAFT01,Maforan Tab 1mg *HAD*                             
99,ALPT03,Alprazolam Tab 0.5 mg *HAD*                       
101,CALT07,Caltab-1500                                       
102,XANT08,Xandase Tab 100mg                                 
103,TENT04,Ricovir Tab 300 mg for HBV (Tenofovir )           
104,OSRL01,*(d) OSRA R.O. ( ORS ) 5.5 g
105,DIPT01,DiPazide Tab 5 mg **                     
107,UTMT01,Utmos-30 Tab                                      
109,LIPT05,Lipanthyl Cap 200 mg                              
111,BCOT01,B CO-ED Tab  (Vitamin B Complex)                  
112,NORT16,Norfloxacin  400 mg Tab                           
117,AMAT03,*(d) Amanda Cap 50 mg
118,BIOT02,*(d) Biocalm Tab 50 mg
119,NEUT05,*(d) NeuroMET Tab 500 mcg
120,ARM003,*(d) Arm-sling size M
121,KBA002,*(d) K-Band 10 cm x 4m
122,CEFT02,*(d) CEPhalex Cap 500 mg
123,HEMI06,Hemax Inj.4000 u ( )                   
126,NEOE04,Neotica Balm 25 gm ()                          
131,SIAT01,Siamformet Tab 500 mg  ()                
132,LORT05,LoRANTA Tab 100 mg                                
134,MEDT01,Medi-Alpha  Cap 0.25 mcg                          
138,TOLT01,Tolchicine Tab 0.6mg                              
139,FURT01,FuroSemide Tab 40 mg                              
140,ANAT03,ANapril Tab 5 mg                                  
143,ZIMT01,Zimmex Tab 10 mg                                  
146,HYDT03,Hydrochlorothiazide Tab 50mg(HCTZ)                
150,PSET02,Pseudoephedrine F/C Tab  60 mg *HAD*              
152,PRET05,*(d) Prednisolone Tab 5 mg (Predsomed)
154,ALPE02,Alphagan-P 0.15% Eye Drop 5 ml                    
157,CODT05,*(d) CodiGESIC Tab
158,ESPT01,*(d) Espenal Tab 50 mg
159,LOPT06,Lopi/Ritonavir Tab 200/50 mg(  B24)      
168,TENT10,Teno-EM Tab (  B24)                      
